SeniorCitizen,tenure,MonthlyCharges,TotalCharges,Churn,gender_Male,Partner_Yes,Dependents_Yes,MultipleLines_No.phone.service,MultipleLines_Yes,InternetService_Fiber.optic,OnlineSecurity_Yes,OnlineBackup_Yes,DeviceProtection_Yes,TechSupport_Yes,StreamingTV_Yes,StreamingMovies_No.internet.service,StreamingMovies_Yes,Contract_One.year,Contract_Two.year,PaperlessBilling_Yes,PaymentMethod_Credit.card..automatic.,PaymentMethod_Electronic.check,PaymentMethod_Mailed.check
0,1,29.85,29.85,No,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
0,13,49.95,587.45,No,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
0,25,105.5,2686.05,No,1,0,0,0,0,1,1,0,1,1,1,0,1,0,0,1,0,1,0
0,69,113.25,7895.15,No,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0
0,52,20.65,1022.95,No,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
0,21,90.05,1862.9,No,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0
1,1,39.65,39.65,Yes,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
0,30,55.3,1530.6,No,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
0,47,99.35,4749.15,Yes,1,1,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0,1,0
0,1,30.2,30.2,Yes,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0,17,64.7,1093.1,Yes,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1
0,72,99.9,7251.7,No,0,1,1,0,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0
0,5,69.7,316.9,Yes,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
0,46,74.8,3548.3,No,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0
0,34,106.35,3549.25,Yes,1,0,0,0,1,1,0,1,1,0,1,0,1,0,0,1,0,1,0
0,11,97.85,1105.4,Yes,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0
0,2,80.65,144.15,Yes,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0
0,52,79.75,4217.8,No,1,0,0,0,1,0,1,0,0,1,1,0,1,0,1,1,1,0,0
1,25,69.5,1752.65,No,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0
0,50,20.15,930.9,No,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,62,24.25,1424.6,No,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0
0,8,54.65,482.25,No,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
0,45,25.9,1216.6,No,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0
0,1,79.35,79.35,Yes,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0
0,7,75.15,496.9,Yes,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
0,42,103.8,4327.5,No,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,1,0,0,0
0,49,20.15,973.35,No,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
0,9,99.3,918.75,No,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,1,0,0
0,48,20.65,1057,No,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,1,74.7,74.7,No,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
0,65,111.05,7107,No,0,0,0,0,1,1,1,1,1,0,1,0,1,0,0,1,1,0,0
0,72,100.9,7459.05,No,1,0,0,0,1,1,0,1,1,0,1,0,1,0,1,1,0,0,0
0,12,78.95,927.35,Yes,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0
0,38,95,3605.6,No,1,0,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0
1,66,45.55,3027.25,No,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0
0,68,110,7611.85,Yes,1,1,0,0,1,1,0,1,1,1,1,0,1,0,1,1,0,0,0
0,72,19.4,1363.25,No,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
0,43,91.65,3954.1,No,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,1,0
0,3,74.4,229.55,Yes,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0
