SeniorCitizen,tenure,MonthlyCharges,TotalCharges,Churn,gender_Male,Partner_Yes,Dependents_Yes,MultipleLines_No.phone.service,MultipleLines_Yes,InternetService_Fiber.optic,OnlineSecurity_Yes,OnlineBackup_Yes,DeviceProtection_Yes,TechSupport_Yes,StreamingTV_Yes,StreamingMovies_No.internet.service,StreamingMovies_Yes,Contract_One.year,Contract_Two.year,PaperlessBilling_Yes,PaymentMethod_Credit.card..automatic.,PaymentMethod_Electronic.check,PaymentMethod_Mailed.check
0,34,56.95,1889.5,No,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
0,2,53.85,108.15,Yes,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1
0,45,42.3,1840.75,No,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0
0,2,70.7,151.65,Yes,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
0,8,99.65,820.5,Yes,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0
0,22,89.1,1949.4,No,1,0,1,0,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0
0,10,29.75,301.9,No,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,28,104.8,3046.05,Yes,0,1,0,0,1,1,0,0,1,1,1,0,1,0,0,1,0,1,0
0,62,56.15,3487.95,No,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
0,16,18.95,326.8,No,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
0,58,100.35,5681.1,No,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,0
0,49,103.7,5036.3,Yes,1,0,0,0,1,1,0,1,1,0,1,0,1,0,0,1,0,0,0
0,71,106.7,7382.25,No,1,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,0,0,0
0,10,55.2,528.35,Yes,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
0,12,19.8,202.25,No,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0,1,20.15,20.15,Yes,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0,58,59.9,3505.1,No,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,0,0
0,49,59.6,2970.3,No,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0
0,72,90.25,6369.45,No,1,1,0,0,1,0,1,1,1,1,1,0,1,0,1,1,1,0,0
1,71,96.35,6766.95,No,0,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0
1,2,95.5,181.65,No,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0
0,27,66.15,1874.45,No,0,1,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1
0,1,20.2,20.2,No,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1,45.25,45.25,No,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10,49.55,475.7,No,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
0,70,69.2,4872.35,No,0,1,1,0,1,0,1,1,0,0,1,0,0,0,1,1,1,0,0
0,17,20.75,418.25,No,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
0,63,79.85,4861.45,No,0,0,0,0,1,0,1,1,1,1,1,0,0,0,1,1,1,0,0
0,13,76.2,981.45,No,0,1,0,0,1,0,1,1,0,1,1,0,0,0,0,1,0,1,0
0,49,84.5,3906.7,No,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0
0,2,49.25,97,No,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0,69,64.15,4254.1,No,0,1,1,0,1,0,1,0,1,1,0,0,0,0,1,1,1,0,0
1,43,90.25,3838.75,No,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0
0,15,99.1,1426.4,Yes,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,1,0,0
1,8,80.65,633.3,Yes,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0
1,60,74.85,4456.35,No,0,1,1,0,0,0,1,1,1,1,0,0,1,1,0,1,1,0,0
1,18,95.45,1752.55,Yes,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0
0,63,99.65,6311.2,No,0,1,1,0,1,1,1,0,0,0,1,0,1,1,0,1,1,0,0
1,66,108.45,7076.35,No,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,0,1,0
0,34,24.95,894.3,No,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0
0,72,107.5,7853.7,No,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,1,1,0,0
0,47,100.5,4707.1,No,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0
0,60,89.9,5450.7,No,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0
0,72,42.1,2962,No,1,1,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0
0,18,54.4,957.1,No,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0
0,9,94.4,857.25,Yes,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
0,3,75.3,244.1,No,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0
0,47,78.9,3650.35,No,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0
