"Churn","Xeducation","Xgender","Xsatisfaction","Xsatisfaction2","Xservice.calls","Xtenure2","Xpurch.last.month","Xmonthly.charges","time"
1,"Master's Degree","F",5,2,0,9,1,260.899525335127,9
0,"Bachelor's Degree","F",2,4,0,10,3,-18.2137848607995,10
0,"Bachelor's Degree","M",5,5,0,11,0,243.845589585025,11
1,"Bachelor's Degree","M",3,2,0,1,1,45.5841544519172,1
1,"Bachelor's Degree","M",3,5,3,3,1,269.015835647152,3
1,"Bachelor's Degree","M",5,4,1,7,1,205.57351336616,7
1,"Bachelor's Degree","M",1,3,0,5,1,153.697525195416,5
0,"Bachelor's Degree","M",1,5,0,5,1,98.9383986415502,5
0,"Bachelor's Degree","M",5,5,2,12,0,29.1271147741822,12
0,"Bachelor's Degree","F",5,3,0,9,3,76.3816040017877,9
1,"Bachelor's Degree","M",4,2,0,7,1,245.931023620886,7
1,"Bachelor's Degree","M",5,5,0,7,1,161.839988348117,7
1,"Bachelor's Degree","M",2,3,1,9,1,61.4583139264265,9
0,"Bachelor's Degree","M",2,5,0,12,1,29.9029861973143,12
0,"Bachelor's Degree","M",NA,4,0,10,1,202.119583598831,10
1,"Bachelor's Degree","F",4,3,0,7,1,286.22101360585,7
1,"Bachelor's Degree","M",2,6,1,1,1,287.00439784676,1
1,"Master's Degree","M",2,6,0,10,1,93.692083740286,10
1,"Bachelor's Degree","M",3,4,0,2,10,264.380747087244,2
1,"Bachelor's Degree","M",1,4,0,5,10,62.1087574390918,5
1,"Bachelor's Degree","M",1,3,4,10,1,75.7893286955823,10
0,"Bachelor's Degree","M",5,2,1,2,1,55.8173917964963,2
1,"Bachelor's Degree","F",2,2,0,5,1,180.713135810752,5
0,"Bachelor's Degree","M",1,5,0,10,3,-1.72597129591466,10
0,"Bachelor's Degree","M",5,4,0,8,3,93.6644432589674,8
1,"Bachelor's Degree","M",4,2,3,6,1,248.737933597542,6
1,"Bachelor's Degree","M",5,2,1,12,1,250.561582206218,12
1,"Master's Degree","M",1,3,0,12,1,146.152683244369,12
1,"Master's Degree","M",5,2,0,7,1,373.475872790728,7
0,"Master's Degree","M",1,4,2,10,3,-9.36194193600885,10
0,"Master's Degree","M",1,4,0,8,1,126.479707873145,8
0,"Doctorate Degree","F",4,5,0,10,1,98.1951064646962,10
0,"Bachelor's Degree","F",2,5,0,12,3,20.2663785026097,12
0,"Bachelor's Degree","M",3,1,2,12,3,120.75134034825,12
0,"Bachelor's Degree","F",1,4,3,8,1,96.0381289064069,8
0,"Bachelor's Degree","M",5,4,0,6,0,88.9560648834799,6
1,"Bachelor's Degree","M",1,2,0,11,1,218.078167646182,11
1,"Bachelor's Degree","M",1,2,0,4,1,184.394216794691,4
1,"Bachelor's Degree","M",1,5,0,4,1,154.264567580282,4
0,"Bachelor's Degree","M",2,3,0,7,1,7.43784485735662,7
1,"Bachelor's Degree","M",4,3,4,12,10,90.3271675198651,12
0,"Doctorate Degree","M",4,5,0,5,1,-26.5017254088088,5
1,"Bachelor's Degree","M",1,3,1,7,1,330.473013233155,7
0,"Bachelor's Degree","M",NA,3,2,6,3,64.6277748083381,6
1,"Bachelor's Degree","M",2,6,0,6,1,232.952758020758,6
0,"Master's Degree","M",5,5,0,7,1,74.9769730061759,7
0,"Bachelor's Degree","F",1,5,0,6,1,120.855621462191,6
0,"Bachelor's Degree","M",4,5,3,10,1,77.2614984123963,10
